timestamp_utc,league,event_id,event_start_utc,home_team,away_team,sportsbook,market_key,stat_key,player_name,player_name_norm,outcome,line,price_decimal,price_american,raw_implied_prob,adj_implied_prob,source,fetch_run_id,extra_json,timestamp_minute
2026-01-25T07:13:27.121594+00:00,NBA,a0d3f8f7036e2c7dccea730ccc41ca2b,2026-01-25T20:10:00+00:00,Detroit Pistons,Sacramento Kings,draftkings,points,points,Russell Westbrook,russell westbrook,under,13.5,1.97,-103,0.5076142131979695,0.4788359788359788,theoddsapi,57ce8020-1086-4c1e-b95d-7cb21dc19d6e,"{""book_title"":""DraftKings"",""market_last_update"":""2026-01-25T07:13:05Z""}",2026-01-25T07:13:00+00:00
2026-01-25T07:13:27.121594+00:00,NBA,a0d3f8f7036e2c7dccea730ccc41ca2b,2026-01-25T20:10:00+00:00,Detroit Pistons,Sacramento Kings,draftkings,points,points,Tobias Harris,tobias harris,over,11.5,1.83,-120,0.5464480874316939,0.5145888594164455,theoddsapi,57ce8020-1086-4c1e-b95d-7cb21dc19d6e,"{""book_title"":""DraftKings"",""market_last_update"":""2026-01-25T07:13:05Z""}",2026-01-25T07:13:00+00:00
2026-01-25T07:13:27.121594+00:00,NBA,a0d3f8f7036e2c7dccea730ccc41ca2b,2026-01-25T20:10:00+00:00,Detroit Pistons,Sacramento Kings,draftkings,points,points,Tobias Harris,tobias harris,under,11.5,1.94,-106,0.5154639175257733,0.4854111405835544,theoddsapi,57ce8020-1086-4c1e-b95d-7cb21dc19d6e,"{""book_title"":""DraftKings"",""market_last_update"":""2026-01-25T07:13:05Z""}",2026-01-25T07:13:00+00:00
2026-01-25T07:13:27.121594+00:00,NBA,a0d3f8f7036e2c7dccea730ccc41ca2b,2026-01-25T20:10:00+00:00,Detroit Pistons,Sacramento Kings,draftkings,points,points,Malik Monk,malik monk,over,11.5,1.88,-114,0.5319148936170213,0.5013262599469495,theoddsapi,57ce8020-1086-4c1e-b95d-7cb21dc19d6e,"{""book_title"":""DraftKings"",""market_last_update"":""2026-01-25T07:13:05Z""}",2026-01-25T07:13:00+00:00
2026-01-25T07:13:27.121594+00:00,NBA,a0d3f8f7036e2c7dccea730ccc41ca2b,2026-01-25T20:10:00+00:00,Detroit Pistons,Sacramento Kings,draftkings,points,points,Malik Monk,malik monk,under,11.5,1.89,-112,0.5291005291005292,0.4986737400530504,theoddsapi,57ce8020-1086-4c1e-b95d-7cb21dc19d6e,"{""book_title"":""DraftKings"",""market_last_update"":""2026-01-25T07:13:05Z""}",2026-01-25T07:13:00+00:00
2026-01-25T07:13:27.121594+00:00,NBA,a0d3f8f7036e2c7dccea730ccc41ca2b,2026-01-25T20:10:00+00:00,Detroit Pistons,Sacramento Kings,draftkings,points,points,Duncan Robinson,duncan robinson,over,10.5,1.85,-118,0.5405405405405405,0.5105820105820106,theoddsapi,57ce8020-1086-4c1e-b95d-7cb21dc19d6e,"{""book_title"":""DraftKings"",""market_last_update"":""2026-01-25T07:13:05Z""}",2026-01-25T07:13:00+00:00
2026-01-25T07:13:27.121594+00:00,NBA,a0d3f8f7036e2c7dccea730ccc41ca2b,2026-01-25T20:10:00+00:00,Detroit Pistons,Sacramento Kings,draftkings,points,points,Duncan Robinson,duncan robinson,under,10.5,1.93,-108,0.5181347150259068,0.48941798941798953,theoddsapi,57ce8020-1086-4c1e-b95d-7cb21dc19d6e,"{""book_title"":""DraftKings"",""market_last_update"":""2026-01-25T07:13:05Z""}",2026-01-25T07:13:00+00:00
2026-01-25T07:13:27.121594+00:00,NBA,a0d3f8f7036e2c7dccea730ccc41ca2b,2026-01-25T20:10:00+00:00,Detroit Pistons,Sacramento Kings,draftkings,points,points,Ausar Thompson,ausar thompson,over,9.5,1.73,-137,0.5780346820809249,0.5447368421052632,theoddsapi,57ce8020-1086-4c1e-b95d-7cb21dc19d6e,"{""book_title"":""DraftKings"",""market_last_update"":""2026-01-25T07:13:05Z""}",2026-01-25T07:13:00+00:00
2026-01-25T07:13:27.121594+00:00,NBA,a0d3f8f7036e2c7dccea730ccc41ca2b,2026-01-25T20:10:00+00:00,Detroit Pistons,Sacramento Kings,draftkings,points,points,Ausar Thompson,ausar thompson,under,9.5,2.07,107,0.48309178743961356,0.4552631578947368,theoddsapi,57ce8020-1086-4c1e-b95d-7cb21dc19d6e,"{""book_title"":""DraftKings"",""market_last_update"":""2026-01-25T07:13:05Z""}",2026-01-25T07:13:00+00:00
2026-01-25T07:13:27.121594+00:00,NBA,a0d3f8f7036e2c7dccea730ccc41ca2b,2026-01-25T20:10:00+00:00,Detroit Pistons,Sacramento Kings,draftkings,points,points,Isaiah Stewart II,isaiah stewart,over,9.5,1.93,-108,0.5181347150259068,0.48941798941798953,theoddsapi,57ce8020-1086-4c1e-b95d-7cb21dc19d6e,"{""book_title"":""DraftKings"",""market_last_update"":""2026-01-25T07:13:05Z""}",2026-01-25T07:13:00+00:00
