timestamp_utc,sport,league,event_id,event_start_utc,home_team,away_team,sportsbook,market_key,stat_key,player_name,player_name_norm,outcome,line,price_decimal,price_american,implied_prob,source,fetch_run_id,extra_json
2026-01-25T06:23:31.533554+00:00,basketball_nba,NBA,a0d3f8f7036e2c7dccea730ccc41ca2b,2026-01-25T20:10:00+00:00,Detroit Pistons,Sacramento Kings,fanduel,player_assists,assists,Tobias Harris,tobias harris,under,2.5,1.5,-200,0.6231155778894473,theoddsapi,d59e6e7a-b691-4e03-9854-3a888ddac1d7,"{""book_title"":""FanDuel""}"
2026-01-25T06:23:31.533554+00:00,basketball_nba,NBA,a0d3f8f7036e2c7dccea730ccc41ca2b,2026-01-25T20:10:00+00:00,Detroit Pistons,Sacramento Kings,fanduel,player_points,points,Ron Holland,ron holland,over,8.5,1.93,-108,0.48533333333333345,theoddsapi,d59e6e7a-b691-4e03-9854-3a888ddac1d7,"{""book_title"":""FanDuel""}"
2026-01-25T06:23:31.533554+00:00,basketball_nba,NBA,a0d3f8f7036e2c7dccea730ccc41ca2b,2026-01-25T20:10:00+00:00,Detroit Pistons,Sacramento Kings,fanduel,player_points,points,Ron Holland,ron holland,under,8.5,1.82,-122,0.5146666666666666,theoddsapi,d59e6e7a-b691-4e03-9854-3a888ddac1d7,"{""book_title"":""FanDuel""}"
2026-01-25T06:23:31.533554+00:00,basketball_nba,NBA,a0d3f8f7036e2c7dccea730ccc41ca2b,2026-01-25T20:10:00+00:00,Detroit Pistons,Sacramento Kings,fanduel,player_points,points,Zach LaVine,zach lavine,over,16.5,1.98,-102,0.47200000000000003,theoddsapi,d59e6e7a-b691-4e03-9854-3a888ddac1d7,"{""book_title"":""FanDuel""}"
2026-01-25T06:23:31.533554+00:00,basketball_nba,NBA,a0d3f8f7036e2c7dccea730ccc41ca2b,2026-01-25T20:10:00+00:00,Detroit Pistons,Sacramento Kings,fanduel,player_points,points,Zach LaVine,zach lavine,under,16.5,1.77,-130,0.528,theoddsapi,d59e6e7a-b691-4e03-9854-3a888ddac1d7,"{""book_title"":""FanDuel""}"
2026-01-25T06:23:31.533554+00:00,basketball_nba,NBA,a0d3f8f7036e2c7dccea730ccc41ca2b,2026-01-25T20:10:00+00:00,Detroit Pistons,Sacramento Kings,fanduel,player_points,points,Jaden Ivey,jaden ivey,over,8.5,1.98,-102,0.47200000000000003,theoddsapi,d59e6e7a-b691-4e03-9854-3a888ddac1d7,"{""book_title"":""FanDuel""}"
2026-01-25T06:23:31.533554+00:00,basketball_nba,NBA,a0d3f8f7036e2c7dccea730ccc41ca2b,2026-01-25T20:10:00+00:00,Detroit Pistons,Sacramento Kings,fanduel,player_points,points,Jaden Ivey,jaden ivey,under,8.5,1.77,-130,0.528,theoddsapi,d59e6e7a-b691-4e03-9854-3a888ddac1d7,"{""book_title"":""FanDuel""}"
2026-01-25T06:23:31.533554+00:00,basketball_nba,NBA,a0d3f8f7036e2c7dccea730ccc41ca2b,2026-01-25T20:10:00+00:00,Detroit Pistons,Sacramento Kings,fanduel,player_points,points,Domantas Sabonis,domantas sabonis,over,16.5,2.02,102,0.46276595744680854,theoddsapi,d59e6e7a-b691-4e03-9854-3a888ddac1d7,"{""book_title"":""FanDuel""}"
2026-01-25T06:23:31.533554+00:00,basketball_nba,NBA,a0d3f8f7036e2c7dccea730ccc41ca2b,2026-01-25T20:10:00+00:00,Detroit Pistons,Sacramento Kings,fanduel,player_points,points,Domantas Sabonis,domantas sabonis,under,16.5,1.74,-135,0.5372340425531915,theoddsapi,d59e6e7a-b691-4e03-9854-3a888ddac1d7,"{""book_title"":""FanDuel""}"
2026-01-25T06:23:31.533554+00:00,basketball_nba,NBA,a0d3f8f7036e2c7dccea730ccc41ca2b,2026-01-25T20:10:00+00:00,Detroit Pistons,Sacramento Kings,fanduel,player_points,points,Tobias Harris,tobias harris,over,12.5,1.98,-102,0.47200000000000003,theoddsapi,d59e6e7a-b691-4e03-9854-3a888ddac1d7,"{""book_title"":""FanDuel""}"
2026-01-25T06:23:31.533554+00:00,basketball_nba,NBA,a0d3f8f7036e2c7dccea730ccc41ca2b,2026-01-25T20:10:00+00:00,Detroit Pistons,Sacramento Kings,fanduel,player_points,points,Tobias Harris,tobias harris,under,12.5,1.77,-130,0.528,theoddsapi,d59e6e7a-b691-4e03-9854-3a888ddac1d7,"{""book_title"":""FanDuel""}"
2026-01-25T06:23:31.533554+00:00,basketball_nba,NBA,a0d3f8f7036e2c7dccea730ccc41ca2b,2026-01-25T20:10:00+00:00,Detroit Pistons,Sacramento Kings,fanduel,player_points,points,Malik Monk,malik monk,over,11.5,1.78,-128,0.5240641711229947,theoddsapi,d59e6e7a-b691-4e03-9854-3a888ddac1d7,"{""book_title"":""FanDuel""}"
2026-01-25T06:23:31.533554+00:00,basketball_nba,NBA,a0d3f8f7036e2c7dccea730ccc41ca2b,2026-01-25T20:10:00+00:00,Detroit Pistons,Sacramento Kings,fanduel,player_points,points,Malik Monk,malik monk,under,11.5,1.96,-104,0.47593582887700536,theoddsapi,d59e6e7a-b691-4e03-9854-3a888ddac1d7,"{""book_title"":""FanDuel""}"
2026-01-25T06:23:31.533554+00:00,basketball_nba,NBA,a0d3f8f7036e2c7dccea730ccc41ca2b,2026-01-25T20:10:00+00:00,Detroit Pistons,Sacramento Kings,fanduel,player_points,points,Precious Achiuwa,precious achiuwa,over,5.5,1.76,-132,0.5319148936170213,theoddsapi,d59e6e7a-b691-4e03-9854-3a888ddac1d7,"{""book_title"":""FanDuel""}"
2026-01-25T06:23:31.533554+00:00,basketball_nba,NBA,a0d3f8f7036e2c7dccea730ccc41ca2b,2026-01-25T20:10:00+00:00,Detroit Pistons,Sacramento Kings,fanduel,player_points,points,Precious Achiuwa,precious achiuwa,under,5.5,2.0,100,0.4680851063829787,theoddsapi,d59e6e7a-b691-4e03-9854-3a888ddac1d7,"{""book_title"":""FanDuel""}"
2026-01-25T06:23:31.533554+00:00,basketball_nba,NBA,a0d3f8f7036e2c7dccea730ccc41ca2b,2026-01-25T20:10:00+00:00,Detroit Pistons,Sacramento Kings,fanduel,player_points,points,Dennis Schroder,dennis schroder,over,10.5,2.02,102,0.46276595744680854,theoddsapi,d59e6e7a-b691-4e03-9854-3a888ddac1d7,"{""book_title"":""FanDuel""}"
2026-01-25T06:23:31.533554+00:00,basketball_nba,NBA,a0d3f8f7036e2c7dccea730ccc41ca2b,2026-01-25T20:10:00+00:00,Detroit Pistons,Sacramento Kings,fanduel,player_points,points,Dennis Schroder,dennis schroder,under,10.5,1.74,-135,0.5372340425531915,theoddsapi,d59e6e7a-b691-4e03-9854-3a888ddac1d7,"{""book_title"":""FanDuel""}"
2026-01-25T06:23:31.533554+00:00,basketball_nba,NBA,a0d3f8f7036e2c7dccea730ccc41ca2b,2026-01-25T20:10:00+00:00,Detroit Pistons,Sacramento Kings,fanduel,player_points,points,Russell Westbrook,russell westbrook,over,13.5,1.77,-130,0.528,theoddsapi,d59e6e7a-b691-4e03-9854-3a888ddac1d7,"{""book_title"":""FanDuel""}"
