game_id,season,season_type,date_utc,home_team_id,away_team_id,final_score_home,final_score_away,status,source,fetched_at_utc
0022500663,2025-26,Regular Season,2026-01-27T02:30:00Z,1610612750,1610612744,108,83,FINAL,cdn,2026-02-04T18:27:17.327530+00:00
0022500529,2025-26,Regular Season,2026-01-30T01:00:00Z,1610612741,1610612748,113,116,FINAL,cdn,2026-02-04T18:30:25.430870+00:00
0022500664,2025-26,Regular Season,2026-01-28T00:00:00Z,1610612764,1610612757,115,111,FINAL,cdn,2026-02-04T18:33:33.458736+00:00
0022500665,2025-26,Regular Season,2026-01-28T00:30:00Z,1610612752,1610612758,103,87,FINAL,cdn,2026-02-04T18:36:41.214540+00:00
0022500666,2025-26,Regular Season,2026-01-28T01:00:00Z,1610612755,1610612749,139,122,FINAL,cdn,2026-02-04T18:39:49.500551+00:00
0022500667,2025-26,Regular Season,2026-01-28T01:00:00Z,1610612760,1610612740,104,95,FINAL,cdn,2026-02-04T18:42:57.280994+00:00
0022500668,2025-26,Regular Season,2026-01-28T02:00:00Z,1610612743,1610612765,107,109,FINAL,cdn,2026-02-04T18:46:05.040043+00:00
0022500669,2025-26,Regular Season,2026-01-28T02:00:00Z,1610612756,1610612751,106,102,FINAL,cdn,2026-02-04T18:49:12.664376+00:00
0022500670,2025-26,Regular Season,2026-01-28T03:00:00Z,1610612762,1610612746,103,115,FINAL,cdn,2026-02-04T18:52:25.014764+00:00
0022500671,2025-26,Regular Season,2026-01-29T00:00:00Z,1610612739,1610612747,129,99,FINAL,cdn,2026-02-04T18:55:37.111860+00:00
0022500672,2025-26,Regular Season,2026-01-29T00:00:00Z,1610612754,1610612741,113,110,FINAL,cdn,2026-02-04T18:58:53.169147+00:00
0022500673,2025-26,Regular Season,2026-01-29T00:30:00Z,1610612738,1610612737,106,117,FINAL,cdn,2026-02-04T19:02:05.149400+00:00
0022500674,2025-26,Regular Season,2026-01-29T00:30:00Z,1610612748,1610612753,124,133,FINAL,cdn,2026-02-04T19:05:17.178782+00:00
0022500675,2025-26,Regular Season,2026-01-29T00:30:00Z,1610612761,1610612752,92,119,FINAL,cdn,2026-02-04T19:08:30.272186+00:00
0022500676,2025-26,Regular Season,2026-01-29T01:00:00Z,1610612763,1610612766,97,112,FINAL,cdn,2026-02-04T19:11:46.546180+00:00
0022500677,2025-26,Regular Season,2026-01-29T01:30:00Z,1610612742,1610612750,105,118,FINAL,cdn,2026-02-05T04:20:17.466331+00:00
0022500678,2025-26,Regular Season,2026-01-29T02:00:00Z,1610612762,1610612744,124,140,FINAL,cdn,2026-02-05T04:23:25.502755+00:00
0022500679,2025-26,Regular Season,2026-01-29T02:30:00Z,1610612745,1610612759,99,111,FINAL,cdn,2026-02-05T04:26:33.510013+00:00
0022500680,2025-26,Regular Season,2026-01-30T00:00:00Z,1610612755,1610612758,113,111,FINAL,cdn,2026-02-05T04:29:41.397105+00:00
0022500681,2025-26,Regular Season,2026-01-30T00:00:00Z,1610612764,1610612749,109,99,FINAL,cdn,2026-02-05T04:32:49.592992+00:00
0022500682,2025-26,Regular Season,2026-01-30T01:00:00Z,1610612737,1610612745,86,104,FINAL,cdn,2026-02-05T12:37:04.914994+00:00
0022500683,2025-26,Regular Season,2026-01-30T01:30:00Z,1610612742,1610612766,121,123,FINAL,cdn,2026-02-05T12:40:19.116600+00:00
0022500684,2025-26,Regular Season,2026-01-30T02:00:00Z,1610612743,1610612751,107,103,FINAL,cdn,2026-02-05T12:43:27.436820+00:00
0022500685,2025-26,Regular Season,2026-01-30T02:00:00Z,1610612756,1610612765,114,96,FINAL,cdn,2026-02-05T12:46:35.640635+00:00
0022500686,2025-26,Regular Season,2026-01-30T02:30:00Z,1610612750,1610612760,123,111,FINAL,cdn,2026-02-05T12:49:43.689719+00:00
0022500687,2025-26,Regular Season,2026-01-31T00:30:00Z,1610612753,1610612761,130,120,FINAL,cdn,2026-02-05T12:52:51.969982+00:00
0022500688,2025-26,Regular Season,2026-01-31T00:00:00Z,1610612764,1610612747,111,142,FINAL,cdn,2026-02-05T12:56:00.186556+00:00
0022500689,2025-26,Regular Season,2026-01-31T00:30:00Z,1610612738,1610612758,112,93,FINAL,cdn,2026-02-05T12:59:08.504205+00:00
0022500690,2025-26,Regular Season,2026-01-31T00:30:00Z,1610612752,1610612757,127,97,FINAL,cdn,2026-02-05T13:01:31.657688+00:00
0022500691,2025-26,Regular Season,2026-01-31T00:30:00Z,1610612740,1610612763,114,106,FINAL,cdn,2026-02-05T13:04:40.177979+00:00
0022500693,2025-26,Regular Season,2026-01-31T02:00:00Z,1610612756,1610612739,126,113,FINAL,cdn,2026-02-05T13:07:48.595211+00:00
0022500694,2025-26,Regular Season,2026-01-31T02:30:00Z,1610612762,1610612751,99,109,FINAL,cdn,2026-02-05T13:11:01.105027+00:00
0022500695,2025-26,Regular Season,2026-01-31T02:00:00Z,1610612743,1610612746,122,109,FINAL,cdn,2026-02-05T13:14:09.936455+00:00
0022500696,2025-26,Regular Season,2026-01-31T03:00:00Z,1610612744,1610612765,124,131,FINAL,cdn,2026-02-05T13:17:18.359226+00:00
