player_id,player_name,team_id
1627751,Jakob Poeltl,1610612761
1642262,Cody Williams,1610612762
1628374,Lauri Markkanen,1610612762
203994,Jusuf Nurkić,1610612762
1642846,Ace Bailey,1610612762
1642268,Isaiah Collier,1610612762
1629004,Svi Mykhailiuk,1610612762
1642383,Walter Clayton Jr.,1610612762
1641729,Brice Sensabaugh,1610612762
201567,Kevin Love,1610612762
1642271,Kyle Filipowski,1610612762
203937,Kyle Anderson,1610612762
1641707,Taylor Hendricks,1610612762
1641718,Keyonte George,1610612762
1641989,Elijah Harkless,1610612762
1631117,Walker Kessler,1610612762
1627777,Georges Niang,1610612762
1642910,John Tonje,1610612762
1631131,Oscar Tshiebwe,1610612762
1642273,Kyshawn George,1610612764
203114,Khris Middleton,1610612764
1628963,Marvin Bagley III,1610612764
1641731,Bilal Coulibaly,1610612764
1642267,Bub Carrington,1610612764
1630264,Anthony Gill,1610612764
1642860,Will Riley,1610612764
1642358,AJ Johnson,1610612764
1642364,Jamir Watkins,1610612764
1627746,Skal Labissiere,1610612764
1630536,Sharife Cooper,1610612764
1631103,Malaki Branham,1610612764
1630551,Justin Champagnie,1610612764
1642848,Tre Johnson,1610612764
1642259,Alex Sarr,1610612764
1641774,Tristan Vukcevic,1610612764
1641715,Cam Whitmore,1610612764
1629027,Trae Young,1610612764
201942,DeMar DeRozan,1610612758
1630173,Precious Achiuwa,1610612758
1642875,Maxime Raynaud,1610612758
1642363,Nique Clifford,1610612758
203897,Zach LaVine,1610612758
1642928,Dylan Cardwell,1610612758
1628370,Malik Monk,1610612758
1631342,Daeqwon Plowden,1610612758
1642269,Devin Carter,1610612758
1629234,Drew Eubanks,1610612758
1641815,Isaiah Stevens,1610612758
203926,Doug McDermott,1610612758
1629631,De'Andre Hunter,1610612758
1631099,Keegan Murray,1610612758
1627734,Domantas Sabonis,1610612758
201566,Russell Westbrook,1610612758
1628384,OG Anunoby,1610612752
1628404,Josh Hart,1610612752
1626157,Karl-Anthony Towns,1610612752
1628969,Mikal Bridges,1610612752
1628973,Jalen Brunson,1610612752
1629013,Landry Shamet,1610612752
1642885,Mohamed Diawara,1610612752
1629011,Mitchell Robinson,1610612752
1642278,Tyler Kolek,1610612752
1641794,Dillon Jones,1610612752
1641998,Trey Jemison III,1610612752
1630574,Ariel Hukporti,1610612752
203903,Jordan Clarkson,1610612752
1627824,Guerschon Yabusele,1610612752
1642359,Pacôme Dadiet,1610612752
1630540,Miles McBride,1610612752
1641755,Kevin McCullar Jr.,1610612752
2544,LeBron James,1610612747
1631222,Jake LaRavia,1610612747
1629028,Deandre Ayton,1610612747
1629029,Luka Dončić,1610612747
203935,Marcus Smart,1610612747
1629216,Gabe Vincent,1610612747
1629637,Jaxson Hayes,1610612747
