player_id,player_name,team_abbr,def_fg_pct,def_fga,player_position,season
1627827,Dorian Finney-Smith,BKN,0.461,805,F,2023-24
1628997,Caleb Martin,MIA,0.436,801,F,2023-24
202691,Klay Thompson,GSW,0.456,793,G,2023-24
203110,Draymond Green,GSW,0.43,789,F,2023-24
1629675,Naz Reid,MIN,0.475,787,C-F,2023-24
1641764,Brandin Podziemski,GSW,0.485,785,G,2023-24
1628369,Jayson Tatum,BOS,0.467,784,F-G,2023-24
1626220,Royce O'Neale,PHX,0.478,782,F,2023-24
1629008,Michael Porter Jr.,DEN,0.504,782,F,2023-24
1630245,Ayo Dosunmu,CHI,0.476,782,G,2023-24
203501,Tim Hardaway Jr.,DAL,0.49,781,G-F,2023-24
203952,Andrew Wiggins,GSW,0.471,780,F,2023-24
1641718,Keyonte George,UTA,0.495,778,G,2023-24
1630200,Tre Jones,SAS,0.49,777,G,2023-24
1626179,Terry Rozier,MIA,0.5,776,G,2023-24
1630193,Immanuel Quickley,TOR,0.481,776,G,2023-24
1630228,Jonathan Kuminga,GSW,0.459,773,F,2023-24
1627751,Jakob Poeltl,TOR,0.496,768,C,2023-24
1629628,RJ Barrett,TOR,0.49,768,F-G,2023-24
1630591,Jalen Suggs,ORL,0.464,763,G,2023-24
1630703,Scoot Henderson,POR,0.534,762,G,2023-24
203915,Spencer Dinwiddie,LAL,0.472,761,G,2023-24
1627759,Jaylen Brown,BOS,0.448,755,G-F,2023-24
1629627,Zion Williamson,NOP,0.473,755,F,2023-24
1626172,Kevon Looney,GSW,0.464,755,F,2023-24
1630583,Santi Aldama,MEM,0.473,752,F-C,2023-24
201144,Mike Conley,MIN,0.448,752,G,2023-24
1629638,Nickeil Alexander-Walker,MIN,0.434,746,G,2023-24
1626162,Kelly Oubre Jr.,PHI,0.465,739,F-G,2023-24
1630175,Cole Anthony,ORL,0.474,737,G,2023-24
1641717,Cason Wallace,OKC,0.447,736,G,2023-24
1626192,Pat Connaughton,MIL,0.469,735,G,2023-24
1629640,Keldon Johnson,SAS,0.493,735,F-G,2023-24
202704,Reggie Jackson,DEN,0.489,732,G,2023-24
203078,Bradley Beal,PHX,0.471,731,G,2023-24
1630169,Tyrese Haliburton,IND,0.529,730,G,2023-24
1630534,Ochai Agbaji,TOR,0.436,725,G,2023-24
1630168,Onyeka Okongwu,ATL,0.51,712,F-C,2023-24
2544,LeBron James,LAL,0.462,710,F,2023-24
1627747,Caris LeVert,CLE,0.445,710,G,2023-24
1629027,Trae Young,ATL,0.507,708,G,2023-24
