season,team_abbr,pace,off_rating,def_rating
2025-26,ATL,114.95695099818512,102.41347153260502,102.98211441168657
2025-26,BKN,108.82341778975741,98.7305784893011,105.52889332680334
2025-26,BOS,110.48368421052632,104.11268068905888,98.3385535921664
2025-26,CHA,111.748,102.76887651807132,102.14587692119498
2025-26,CHI,113.92853955375254,102.78702609363232,104.49752070212583
2025-26,CLE,115.01239163691994,101.69700807808759,100.5924316991493
2025-26,DAL,115.06591534931158,98.11814290468287,99.93855828915729
2025-26,DEN,110.3488934217236,109.72976791975859,105.04453765576696
2025-26,DET,114.62542580316165,101.38077908665102,94.98167558738767
2025-26,GSW,113.23222821203953,102.02830578421397,98.87645573408761
2025-26,HOU,111.75204893086482,103.19300320893534,97.50882715831733
2025-26,IND,114.26036398467434,95.10746675078406,104.27369381546501
2025-26,LAC,109.35000000000001,101.95312884267886,103.99147734248233
2025-26,LAL,110.88742857142857,105.42081537518838,104.8857811533783
2025-26,MEM,115.78131027253669,98.21901399044003,99.76739289388922
2025-26,MIA,117.31474600870828,100.52384264592555,99.9859042279357
2025-26,MIL,109.85931667516574,101.43743126614902,104.69895546411436
2025-26,MIN,113.65654716981132,104.65085658881264,100.30598276484508
2025-26,NOP,114.43181727904668,98.43722811207903,105.44399842526076
2025-26,NYK,112.40526315789472,105.33987845868619,101.02226894020295
2025-26,OKC,111.72666851008458,106.41798780994279,94.8776512204254
2025-26,ORL,112.98045894951557,102.0485617109088,102.61693967203632
2025-26,PHI,114.20838667702058,100.41777463278915,99.59790538758689
2025-26,PHX,113.50826109127996,100.83138489157938,98.76055808578386
2025-26,POR,116.24544190665343,98.73716038194853,100.12146291711228
2025-26,SAC,112.80375372393249,97.92298514395684,106.31888009595434
2025-26,SAS,112.5743105950653,102.71917332333199,98.87176634682966
2025-26,TOR,111.58848113207549,101.07391306703991,98.72467117180034
2025-26,UTA,115.47974924827236,100.98604065039335,107.86058338375656
2025-26,WAS,115.9360495283019,95.94877371123034,106.86116838310426
