player_name,player_std
A.J. Lawson,6.928399694233077
AJ Green,5.188512944159764
AJ Johnson,5.0581414888907
Aaron Gordon,6.900764871687381
Aaron Holiday,5.40235598685481
Aaron Nesmith,5.882737029376525
Aaron Wiggins,7.228211236850904
Adem Bona,6.249964538906493
Al Horford,5.29363563013095
Alex Caruso,4.822272253539987
Alex Sarr,5.943025228970549
Alperen Sengun,7.211035363091206
Amen Thompson,6.49759438426016
Amir Coffey,5.4171519738465195
Andre Drummond,4.865817584735773
Andre Jackson Jr.,3.3177714680732797
Andrew Nembhard,5.050300102061756
Andrew Wiggins,7.406106482028225
Anfernee Simons,8.999450916663616
Anthony Black,5.915744106901738
Anthony Davis,9.0562719968859
Anthony Edwards,9.61917822967763
Anthony Gill,3.9051639210544353
Ariel Hukporti,3.0189875313233268
Ausar Thompson,5.048414254643382
Ayo Dosunmu,6.706764866960447
Bam Adebayo,6.406762536047844
Baylor Scheierman,5.687496729460075
Ben Sheppard,4.0444671790363085
Bennedict Mathurin,7.501221204525879
Bilal Coulibaly,6.084977123165426
Bismack Biyombo,3.550687330682073
Blake Wesley,3.9159969713964813
Bobby Portis,6.7512166029416285
Bogdan Bogdanović,7.062212830266165
Bones Hyland,7.004256409008544
Bradley Beal,8.308201137451528
Branden Carlson,6.1898184798791
Brandin Podziemski,6.358990628317017
Brandon Clarke,4.221280497615389
Brandon Ingram,8.002884847615519
Brandon Williams,8.232790909153842
Brice Sensabaugh,7.0065754196850305
Bronny James,4.228753118967394
Brook Lopez,6.319197025175692
Bruce Brown,5.503628090126437
Bub Carrington,5.794606525790376
Buddy Hield,6.846237487988236
Cade Cunningham,8.269148109647535
Caleb Houstan,4.8535599937512925
Caleb Martin,5.388608888330221
Cam Christie,2.5
Cam Spencer,6.663332499583072
Cam Thomas,8.696387784237034
Cam Whitmore,7.047967832979422
Cameron Johnson,6.685326450038901
Caris LeVert,6.750975281672985
Cason Wallace,4.685038836584851
Charles Bassey,4.414965367012429
Chet Holmgren,7.021039543106849
Chris Boucher,6.13645296008499
Chris Livingston,2.5
Chris Paul,4.692042769924443
Christian Braun,6.6336089884707965
Christian Koloko,2.5
Clint Capela,4.574436269987707
Coby White,7.726137076820074
Cody Martin,4.43200360284304
Cody Williams,3.2360152768172883
Colby Jones,5.2179835593342165
Cole Anthony,7.166976024065171
Colin Castleton,4.169662901204055
Collin Gillespie,5.476465500263666
Collin Sexton,6.234966652701949
Corey Kispert,6.007804671429728
Craig Porter Jr.,5.016682632427124
D'Angelo Russell,8.336768240419442
Dalen Terry,3.937219010603938
Dalton Knecht,8.14145948824723
Damian Lillard,7.6720037717195
Daniel Gafford,5.857067027086134
Danté Exum,6.401735041257294
Dario Šarić,5.729242847225493
Darius Garland,7.304295310458578
Day'Ron Sharpe,4.0146020603504775
De'Aaron Fox,8.474634421108004
De'Andre Hunter,6.583204002503259
DeAndre Jordan,3.1210642183176867
DeMar DeRozan,7.619397591046733
Dean Wade,4.633616068243572
Deandre Ayton,7.431894322532346
Dejounte Murray,7.545300557498626
Deni Avdija,7.834634273756548
Dennis Schröder,6.80768947700508
Dereck Lively II,5.2228132053308
Derrick Jones Jr.,5.577317544644104
Derrick White,6.562087677143214
Desmond Bane,8.157168990562475
Devin Booker,9.59751073711587
Devin Carter,4.0551960969372844
Devin Vassell,7.256632712963328
Dillon Brooks,6.802747405480651
Domantas Sabonis,6.129316815348574
Dominick Barlow,4.4216647517935455
Donovan Clingan,4.947658366163803
Donte DiVincenzo,7.996531772705515
Dorian Finney-Smith,4.906873797879823
Draymond Green,5.0987870697653745
Drew Eubanks,3.7208976558190052
Drew Peterson,2.5
Dru Smith,4.802510027485893
Duop Reath,6.050046444991734
Dwight Powell,2.821258860443755
Dyson Daniels,6.561601799311537
E.J. Liddell,2.6012817353502227
Enrique Freeman,2.5346089292516947
Eric Gordon,6.591299716957414
Franz Wagner,7.247665462329295
Fred VanVleet,8.376208508969857
GG Jackson,9.132399665720671
Gabe Vincent,4.903754036752664
Garrett Temple,3.667355307233668
Gary Harris,4.330913114919568
Gary Payton II,4.831911466599178
Gary Trent Jr.,6.966658335113683
Georges Niang,5.7950271747292
Giannis Antetokounmpo,8.019583216552054
Goga Bitadze,5.087667959110501
Gradey Dick,7.34580095262245
Grant Williams,6.288219486144863
Grayson Allen,6.617646203830313
Guerschon Yabusele,6.776829917359117
Gui Santos,4.723199170126326
Harrison Barnes,6.877741445530113
Haywood Highsmith,5.251509707116194
Herbert Jones,5.146924758855934
Hunter Tyson,3.3080671104156036
Immanuel Quickley,6.5263437231854695
Isaac Jones,3.6736088930165898
Isaac Okoro,4.636323715352647
Isaiah Collier,6.133576854276989
Isaiah Crawford,2.5
Isaiah Hartenstein,4.917811154288874
Isaiah Jackson,5.0146586470866925
Isaiah Joe,6.096877143096471
Isaiah Livers,3.617975067595628
Isaiah Stewart,4.485226315981488
Ivica Zubac,6.145426321898266
JD Davison,2.5
Ja Morant,7.558051975202601
Ja'Kobe Walter,5.944819820191461
Jabari Smith Jr.,6.237577284906316
Jabari Walker,5.8140354077465695
Jacob Toppin,4.2264050918008325
Jaden Hardy,6.466672803138962
Jaden Ivey,6.647400210102036
Jae'Sean Tate,3.400213670716066
