game_id,season,season_type,date_utc,home_team_id,away_team_id,final_score_home,final_score_away,status,source
0022500091,2025-26,Regular Season,2025-10-24T23:30:00Z,1610612751,1610612739,124,131,FINAL,cdn
0022500092,2025-26,Regular Season,2025-10-24T22:30:00Z,1610612761,1610612749,116,122,FINAL,cdn
0022500093,2025-26,Regular Season,2025-10-25T00:00:00Z,1610612745,1610612765,111,115,FINAL,cdn
0022500094,2025-26,Regular Season,2025-10-25T00:00:00Z,1610612763,1610612748,114,146,FINAL,cdn
0022500095,2025-26,Regular Season,2025-10-25T00:00:00Z,1610612740,1610612759,116,120,FINAL,cdn
0022500096,2025-26,Regular Season,2025-10-25T00:30:00Z,1610612742,1610612764,107,117,FINAL,cdn
0022500097,2025-26,Regular Season,2025-10-25T02:00:00Z,1610612757,1610612744,139,119,FINAL,cdn
0022500098,2025-26,Regular Season,2025-10-25T02:00:00Z,1610612758,1610612762,105,104,FINAL,cdn
0022500099,2025-26,Regular Season,2025-10-25T02:30:00Z,1610612746,1610612756,129,102,FINAL,cdn
0022500100,2025-26,Regular Season,2025-10-25T23:00:00Z,1610612753,1610612741,98,110,FINAL,cdn
0022500101,2025-26,Regular Season,2025-10-25T23:30:00Z,1610612737,1610612760,100,117,FINAL,cdn
0022500102,2025-26,Regular Season,2025-10-25T23:30:00Z,1610612755,1610612766,125,121,FINAL,cdn
0022500103,2025-26,Regular Season,2025-10-26T00:00:00Z,1610612763,1610612754,128,103,FINAL,cdn
0022500104,2025-26,Regular Season,2025-10-26T01:00:00Z,1610612743,1610612756,133,111,FINAL,cdn
0022500105,2025-26,Regular Season,2025-10-26T18:00:00Z,1610612759,1610612751,118,107,FINAL,cdn
0022500106,2025-26,Regular Season,2025-10-26T19:30:00Z,1610612765,1610612738,119,113,FINAL,cdn
0022500107,2025-26,Regular Season,2025-10-26T22:00:00Z,1610612739,1610612749,118,113,FINAL,cdn
0022500108,2025-26,Regular Season,2025-10-26T22:00:00Z,1610612748,1610612752,115,107,FINAL,cdn
0022500109,2025-26,Regular Season,2025-10-26T22:00:00Z,1610612764,1610612766,113,139,FINAL,cdn
0022500110,2025-26,Regular Season,2025-10-26T23:00:00Z,1610612750,1610612754,114,110,FINAL,cdn
0022500111,2025-26,Regular Season,2025-10-26T23:30:00Z,1610612742,1610612761,139,129,FINAL,cdn
0022500112,2025-26,Regular Season,2025-10-27T01:00:00Z,1610612746,1610612757,114,107,FINAL,cdn
0022500113,2025-26,Regular Season,2025-10-27T01:00:00Z,1610612758,1610612747,120,127,FINAL,cdn
0022500114,2025-26,Regular Season,2025-10-27T23:00:00Z,1610612755,1610612753,136,124,FINAL,cdn
0022500115,2025-26,Regular Season,2025-10-28T00:00:00Z,1610612741,1610612737,128,123,FINAL,cdn
0022500116,2025-26,Regular Season,2025-10-28T00:00:00Z,1610612745,1610612751,137,109,FINAL,cdn
0022500117,2025-26,Regular Season,2025-10-28T00:00:00Z,1610612740,1610612738,90,122,FINAL,cdn
0022500118,2025-26,Regular Season,2025-10-28T00:00:00Z,1610612759,1610612761,121,103,FINAL,cdn
0022500119,2025-26,Regular Season,2025-10-28T00:30:00Z,1610612742,1610612760,94,101,FINAL,cdn
0022500120,2025-26,Regular Season,2025-10-28T01:00:00Z,1610612762,1610612756,138,134,FINAL,cdn
