game_id,season,season_type,team_id,team_tricode,minutes,pts,reb,ast,stl,blk,tov,fga,fgm,fg3a,fg3m,fta,ftm,plus_minus,source
0022500024,2025-26,Regular Season,1610612763,MEM,240.0,112,51,28,9,0,11,93,41,45,14,19,16,0,cdn
0022500024,2025-26,Regular Season,1610612747,LAL,240.0,117,49,24,8,3,13,76,39,38,13,33,26,0,cdn
0022500025,2025-26,Regular Season,1610612756,PHX,240.0,118,53,30,10,6,9,91,43,48,17,18,15,0,cdn
0022500025,2025-26,Regular Season,1610612762,UTA,240.0,96,58,23,4,3,21,80,30,37,12,32,24,0,cdn
0022500026,2025-26,Regular Season,1610612757,POR,240.0,109,56,26,11,5,12,91,38,39,11,31,22,0,cdn
0022500026,2025-26,Regular Season,1610612743,DEN,240.0,107,54,19,6,7,16,79,38,25,6,31,25,0,cdn
0022500027,2025-26,Regular Season,1610612746,LAC,240.0,126,45,28,12,6,12,89,46,39,15,21,19,0,cdn
0022500027,2025-26,Regular Season,1610612740,NOP,240.0,124,46,28,8,4,15,83,40,37,18,29,26,0,cdn
0022500028,2025-26,Regular Season,1610612753,ORL,240.0,123,50,28,8,7,15,82,41,36,17,31,24,0,cdn
0022500028,2025-26,Regular Season,1610612738,BOS,240.0,110,56,26,9,8,14,95,43,37,13,16,11,0,cdn
0022500029,2025-26,Regular Season,1610612764,WAS,240.0,114,54,32,5,7,20,91,41,41,15,23,17,0,cdn
0022500029,2025-26,Regular Season,1610612739,CLE,240.0,148,68,34,15,6,10,110,52,45,20,31,24,0,cdn
0022500030,2025-26,Regular Season,1610612737,ATL,240.0,97,65,24,8,7,15,96,33,38,9,23,22,0,cdn
0022500030,2025-26,Regular Season,1610612761,TOR,240.0,109,55,23,11,6,12,91,37,38,12,25,23,0,cdn
